"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMAR SINGH","2 - BABULAL","3 - RANI PAKSHALIKA SINGH","4 - SEEMA UPADHYAY","5 - ASHOK KUMAR","6 - PEETAM SINGH","7 - PITAM SINGH","8 - PANKAJ KUMAR SHARMA","9 - MANIK","10 - MUNNA LAL","11 - MEGH SINGH","12 - ROHAN SINGH","13 - LAXMI","14 - VIJAY SINGH KUSHWAHA","15 - ANIL KUMAR","16 - AMBEDKARI HASNURAM AMBEDKARI","17 - KHEMRAJ SINGH","18 - DIWAN SINGH","19 - NATHOLI","20 - BRAJENDR SINGH","21 - MAHAVIR SINGH SOLANKI","22 - RAKESH SINGH DHANKAR","23 - RAM KUMAR DIXIT","24 - RAM BRAJ YADAV","25 - SHOBHNA BAUDDHA","26 - SATISH KUMAR","27 - SANTOSH KUMAR","28 - SEEMA DEVI","29 - None of the Above","Total Votes Secured"
1,"PRA.VI. SONIKHERA",712,506,0,1218,362,238,0,600,112,0,13,185,175,191,3,0,4,1,0,1,1,1,1,2,2,6,0,1,2,1,0,1,1,3,0,0,3,0,2,600
2,PRA.VI.KODARI,130,100,0,230,90,56,0,146,146,0,1,52,16,62,1,0,0,2,0,0,0,0,1,0,0,1,1,1,0,1,0,1,2,2,0,1,0,1,0,146
3,PRA.VI.SINGRAWALI,614,446,0,1060,369,237,0,606,578,0,11,285,43,248,2,0,0,1,0,0,0,0,0,0,0,1,0,1,2,2,1,0,3,1,0,1,3,0,1,606
4,PRA.VI.SHAHGANJ,332,268,0,600,221,195,0,416,416,0,2,159,60,155,1,0,0,3,0,0,0,0,1,5,5,4,2,4,1,1,0,0,0,2,0,1,4,3,3,416
5,PRA.VI.GARIMOHAN,804,657,0,1461,540,398,0,938,934,0,5,483,237,147,3,1,1,1,0,1,1,2,6,14,2,3,0,5,3,1,1,1,3,2,1,3,4,4,3,938
6,PRA.VI.JAGATUPURA,305,297,0,602,180,181,0,361,361,0,2,183,51,91,2,0,0,5,2,1,1,1,0,8,2,1,1,0,1,0,0,0,2,1,1,3,1,1,0,361
7,"PU.MA.VI.BASAI JAGNER K.N.1",574,436,0,1010,255,155,0,410,410,0,27,265,57,20,1,0,0,1,0,0,0,0,1,3,4,7,1,7,5,0,0,0,0,1,1,0,3,3,3,410
8,"PU.MA.VI.BASAI JAGNER K.N.2",636,487,0,1123,279,189,0,468,442,0,18,227,67,122,2,0,2,1,0,0,0,0,3,2,7,3,3,0,0,2,0,1,0,4,1,2,1,0,0,468
9,"PRA.VI.BAG KA PURA",483,371,0,854,264,176,0,440,139,0,3,129,36,234,2,0,1,0,0,0,2,0,3,1,0,1,2,3,1,4,0,0,1,2,0,6,7,2,0,440
10,PRA.VI.KANSPURA,527,442,1,970,318,226,0,544,542,0,73,196,32,188,2,1,0,1,0,0,1,0,3,3,8,2,3,3,7,3,2,2,1,2,0,1,7,2,1,544
11,"INTER COLLAGE TANTPUR",693,581,0,1274,408,265,0,673,669,0,2,308,254,54,0,1,0,1,1,1,0,0,7,2,2,3,2,1,7,3,4,0,2,6,0,0,5,3,4,673
12,PRA.VI.KUKARSO,766,647,0,1413,448,217,0,665,559,0,4,260,231,125,3,0,0,0,0,1,0,1,1,3,0,1,1,5,2,5,3,2,7,3,0,3,2,1,1,665
13,PRA.VI.HOLIPURA,558,443,0,1001,428,251,0,679,679,0,13,365,234,25,2,0,0,3,0,0,0,0,4,2,5,3,1,6,1,0,1,0,2,0,1,3,2,3,3,679
14,PRA.VI.GHASKATA,663,541,0,1204,486,357,0,843,798,0,2,330,312,138,2,1,0,0,1,0,1,1,0,7,3,5,1,1,11,6,3,0,1,4,1,4,2,4,2,843
15,"PU.MA.VI.GUNGAWAD K.N.1",547,464,0,1011,284,199,0,483,482,0,6,235,133,88,0,0,0,2,0,0,1,0,3,2,0,3,1,1,0,0,0,0,1,1,1,0,1,1,3,483
16,"PU.MA.VI.GUNGAWAD K.N.2",495,425,0,920,285,190,0,475,471,0,5,162,240,28,1,1,0,4,0,0,0,0,0,2,3,3,2,3,7,1,2,0,3,0,1,1,2,0,4,475
17,PRA.VI.MUSALPUR,644,495,1,1140,443,241,0,684,684,0,55,263,177,114,5,0,0,3,1,0,0,1,2,6,3,2,4,9,13,7,1,2,1,1,5,2,3,1,3,684
18,PRA.VI.CHACHAUND,767,585,0,1352,497,298,0,795,795,0,3,308,140,326,2,0,0,1,1,0,1,3,2,2,1,2,0,0,0,0,0,0,0,0,0,1,1,0,1,795
19,"PRA.VI.TURKPURA K.N.1",533,428,0,961,355,257,0,612,602,0,42,285,36,190,2,0,2,1,2,3,0,2,2,3,10,4,2,13,1,2,0,0,0,0,3,2,1,4,0,612
20,"PRA.VI.TURKPURA K.N.2",329,291,0,620,201,160,0,361,88,0,23,111,7,177,2,0,9,2,1,0,0,0,3,2,6,1,0,0,3,0,1,1,2,5,2,1,1,0,1,361
21,PRA.VI.RICHHOHA,339,224,0,563,195,97,0,292,291,0,2,112,152,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,1,1,0,292
22,PU.MA.VI.RICHHOHA,663,522,0,1185,491,359,0,850,850,0,8,134,441,237,1,0,0,1,1,0,2,0,1,1,0,0,0,1,0,2,2,0,2,4,2,5,3,1,1,850
23,PRA.VI.BHOJPURA,390,273,0,663,266,206,0,472,472,0,1,35,142,259,1,0,3,1,1,2,0,2,1,2,0,1,0,0,0,3,0,1,2,2,0,8,1,1,3,472
24,PRA.VI.VAJIDPUR,371,305,0,676,328,209,0,537,536,0,8,81,29,397,3,0,0,2,0,0,0,0,10,0,2,1,0,0,0,1,0,0,0,1,0,0,2,0,0,537
25,PRA.VI.GULABGANJ,207,201,0,408,152,168,0,320,320,0,61,53,108,87,1,0,0,1,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,2,0,0,320
26,PRA.VI.KATHUMARI,424,348,0,772,280,211,0,491,7,0,6,191,115,149,3,0,1,1,1,2,0,1,1,3,0,0,0,2,5,3,0,0,0,2,1,3,0,1,0,491
27,PRA.VI.BHARA,692,542,0,1234,571,396,0,967,90,0,9,240,516,178,2,0,0,0,0,1,2,2,1,6,0,1,0,0,0,1,0,1,2,0,0,1,3,1,0,967
28,PRA.VI.NAYAGAV,797,601,0,1398,566,386,0,952,952,0,6,585,175,104,2,2,0,1,0,1,3,2,4,13,12,8,1,7,5,1,0,0,3,0,1,5,2,5,4,952
29,PRA.VI.DHANINA,653,560,0,1213,512,408,0,920,280,0,30,285,462,83,3,0,1,1,0,0,0,1,13,10,6,4,4,1,2,1,1,0,1,0,3,2,3,0,3,920
30,PRA.VI.KACHHPURA,389,322,0,711,315,243,0,558,558,0,13,231,37,239,3,1,0,1,0,0,0,0,2,5,0,1,2,0,0,0,0,1,2,5,1,4,7,0,3,558
31,PRA.VI.JALALPUR,364,328,0,692,277,242,0,519,519,0,8,81,182,224,0,0,1,2,0,1,1,3,2,5,1,2,0,0,0,2,0,0,0,1,0,1,1,0,1,519
32,PRA.VI.KHAURPURA,242,211,0,453,159,165,0,324,281,0,3,45,77,170,2,1,0,0,0,0,0,0,1,2,1,2,0,2,2,3,1,1,1,2,0,5,0,3,0,324
33,"PU.MA.VI.VARIGAWA KHURD K.N.1",542,425,0,967,306,219,0,525,29,0,3,140,307,55,2,1,0,1,0,1,0,0,0,1,1,3,0,0,2,0,0,0,0,3,0,2,1,2,0,525
34,"PU.MA.VI.VARIGAWA KHURD K.N.2",476,386,0,862,296,197,0,493,488,0,17,97,312,50,1,0,0,1,1,1,0,0,1,1,3,1,0,2,2,1,0,0,0,0,0,0,1,0,1,493
35,"PRA.VI.NAGLA BHUMMA",688,589,0,1277,468,335,0,803,803,0,20,144,355,217,3,0,1,0,1,0,1,2,2,8,2,3,3,3,5,5,2,1,1,5,2,3,7,4,3,803
36,"PRA.VI.VAMNAI KALA K.N.1",779,538,0,1317,535,261,0,796,9,0,1,176,425,104,3,2,1,3,1,1,2,2,1,10,3,1,1,0,1,6,0,1,1,2,2,37,6,2,1,796
37,"PRA.VI.VAMNAI KALA K.N.2",310,235,0,545,208,92,0,300,300,0,2,148,58,66,0,0,1,0,0,0,0,0,1,3,2,6,0,0,1,0,0,0,2,2,1,1,1,1,4,300
38,PRA.VI.DAHGAWA,726,558,0,1284,434,312,0,746,742,0,27,443,114,128,0,0,1,0,0,0,1,1,2,11,3,2,0,1,1,1,1,0,0,0,0,0,4,2,3,746
39,"PRA.VI.VARIGAWA BUJURG",769,669,0,1438,503,388,0,891,891,0,5,232,427,192,2,0,0,0,2,0,0,0,0,7,4,1,0,1,3,5,1,0,1,2,1,0,1,1,3,891
40,"PRA.VI.SHAHPUR JAGNER",432,380,0,812,281,259,0,540,540,0,31,101,264,118,4,0,1,0,0,0,1,0,1,3,3,0,0,3,0,1,0,1,4,1,1,1,1,0,0,540
41,PRA.VI.DEVARI,254,178,0,432,206,135,0,341,341,0,0,43,16,275,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,341
42,"V.N.SARRAF INTERCOLLAGE JAGNER K.N.1PURVI BHAG",820,699,0,1519,526,371,0,897,872,0,27,288,79,427,3,4,1,4,1,1,0,3,3,5,0,3,2,3,2,8,2,3,5,5,3,1,6,5,3,897
43,"V.N.SARRAF INTERCOLLAGE JAGNER  K.N.2 PURVI BHAG",615,495,0,1110,367,250,0,617,72,0,9,312,28,235,3,1,0,2,0,1,0,0,0,5,0,2,1,2,1,1,0,2,0,1,0,2,5,2,2,617
44,"V.N.SARRAF INTERCOLLAGE JAGNER  K.N.3 PURVI BHAG",616,506,0,1122,344,238,0,582,246,0,7,281,86,185,1,4,0,1,0,0,0,0,3,1,1,3,0,2,0,0,0,1,0,0,0,0,6,0,0,582
45,"V.N.SARRAF INTERCOLLAGE JAGNER K.N.4 PURVI BHAG",445,354,0,799,225,143,0,368,368,0,16,158,126,50,0,0,0,0,0,0,0,1,3,2,1,2,0,2,1,1,0,0,0,1,0,1,1,1,1,368
46,"V.N.SARRAF INTERCOLLAGE JAGNER K.N.5 PASHACHIMI BHAG",658,555,0,1213,311,237,0,548,504,0,4,343,61,124,0,0,1,2,1,0,0,0,1,1,1,2,1,1,0,1,1,0,1,0,0,1,1,0,0,548
47,"V.N.SARRAF INTERCOLLAGE JAGNER  K.N.6 PASHACHIMI BHAG",634,469,0,1103,335,208,0,543,312,0,9,384,52,78,0,0,0,3,1,0,0,0,2,2,1,1,0,2,0,1,0,0,1,2,1,1,1,0,1,543
48,"JANATA INTER COLLAGE JAGNER K.N.1",572,441,1,1014,326,251,0,577,577,0,21,340,111,74,0,0,1,2,1,1,0,1,4,1,1,2,0,2,1,1,1,0,0,4,0,0,6,1,1,577
49,"JANATA INTER COLLAGE JAGNER K.N.2",347,289,0,636,228,159,0,387,383,0,14,172,105,76,0,0,1,0,0,0,0,1,1,2,4,0,0,0,1,0,0,1,2,0,3,0,3,0,1,387
50,"JANATA INTER COLLAGE JAGNER K.N.3",631,568,0,1199,325,324,0,649,649,0,3,75,37,513,1,0,1,0,0,0,2,1,2,0,0,0,1,0,2,7,1,0,1,0,0,0,2,0,0,649
51,"PU.MA.VI.JAGNER K.N.1",779,628,0,1407,445,348,0,793,793,0,23,330,201,213,0,1,0,0,0,0,4,0,1,2,1,0,4,2,0,1,0,0,0,0,0,7,1,0,2,793
52,"PU.MA.VI.JAGNER K.N.2",394,341,0,735,251,144,0,395,280,0,17,218,88,50,0,0,0,2,0,0,0,1,1,0,1,0,2,2,4,2,0,0,0,2,0,4,1,0,0,395
53,"PRA.VI.VIDHAULI JAGNER",485,395,0,880,352,245,0,597,15,0,10,120,57,374,4,0,1,2,0,1,2,1,1,3,2,2,0,0,1,3,1,0,3,3,0,2,2,1,1,597
54,PRA.VI.BHAVANPURA,613,502,0,1115,383,288,0,671,671,0,8,169,36,419,7,0,2,2,1,0,0,0,2,9,2,3,0,0,1,1,0,1,2,1,0,1,1,2,1,671
55,PRA.VI.MEWALI,732,631,0,1363,521,424,0,945,945,0,14,252,400,238,1,1,0,0,2,0,0,2,2,6,9,2,2,0,5,1,0,0,2,1,0,1,3,1,0,945
56,"PRA.VI.MEWALI K.N.2",202,135,0,337,136,88,0,224,200,0,1,21,68,120,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,4,0,0,1,2,0,224
57,"PRA.VI.NAGLA BIRBHAN K.N.1",541,410,1,952,373,242,0,615,15,0,24,332,217,16,1,0,0,1,0,0,0,1,0,2,4,4,1,2,0,0,0,0,2,1,1,1,2,3,0,615
58,"PRA.VI.NAGLA BIRBHAN K.N.2",543,451,0,994,347,248,0,595,595,0,6,110,225,191,4,1,0,1,1,0,0,2,2,2,2,4,2,8,4,11,1,1,2,0,1,3,4,2,5,595
59,"PRA.VI.NAUNI K.N.1",515,428,0,943,295,207,0,502,502,0,20,94,55,299,1,2,1,1,0,2,1,0,0,3,4,5,1,1,0,2,0,0,2,1,0,2,3,0,2,502
60,"PRA.VI.NAUNI K.N.2",417,292,0,709,306,160,0,466,466,0,7,142,110,189,1,0,0,0,0,0,1,0,2,1,2,1,0,2,0,3,1,0,0,1,0,0,1,1,1,466
61,"PRA.VI.NAUNI K.N.3",448,383,0,831,281,214,0,495,495,0,14,206,140,115,1,0,0,1,0,0,0,1,0,3,3,2,0,0,1,1,0,0,2,1,0,0,1,2,1,495
62,"PU.MA.VI.NAUNI K.N.1",528,443,0,971,296,233,0,529,22,0,4,124,166,207,2,0,0,1,0,0,0,0,1,4,1,1,2,0,3,2,1,0,1,2,3,2,2,0,0,529
63,"PU.MA.VI.NAUNI K.N.2",296,254,0,550,177,105,0,282,33,0,1,19,43,203,1,1,1,1,1,0,0,0,1,1,0,0,0,0,2,3,0,0,0,2,0,0,2,0,0,282
64,"PRA.VI.NAGLA IAMALI",463,407,0,870,269,250,0,519,150,0,10,162,140,192,0,0,0,1,0,0,2,2,0,1,0,0,0,2,0,2,0,0,1,0,1,1,1,0,1,519
65,"PRA.VI.NAGLA KASIMPUR",408,373,0,781,307,278,0,585,585,0,1,89,150,329,1,0,0,0,0,0,2,1,0,0,2,1,0,1,1,2,0,0,0,1,0,0,4,0,0,585
66,"PRA.VI.NAGLA NAGU",332,234,0,566,255,120,0,375,375,0,0,105,169,85,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,2,2,1,3,1,0,375
67,PRA.VI.SINGAYACH,779,640,0,1419,572,442,0,1014,1014,0,16,188,551,203,2,0,0,1,0,0,0,3,1,5,2,3,2,6,6,3,2,2,2,2,1,1,6,4,2,1014
68,"PRA.VI.SINGAYACH K.N.2",336,276,0,612,245,214,0,459,459,0,1,30,169,239,0,0,0,0,0,0,0,0,1,3,0,1,0,1,5,1,0,1,1,2,1,1,1,0,1,459
69,"PRA.VI.KHERA SINGAYACH",415,356,0,771,390,294,0,684,684,0,1,17,624,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,684
70,PRA.VI.PIPRAITHA,687,614,0,1301,389,251,0,640,16,0,14,368,127,67,3,0,0,4,0,2,1,1,3,10,5,4,1,9,2,1,0,0,2,4,2,3,3,0,4,640
71,PRA.VI.USARRA,192,173,0,365,180,132,0,312,312,0,0,108,193,2,0,0,0,0,0,0,0,0,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,312
72,PRA.VI.NIMAINA,324,273,0,597,213,165,0,378,14,0,1,116,70,183,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,378
73,PRA.VI.MIRJPURA,496,445,0,941,349,268,0,617,617,0,7,101,103,359,6,2,0,0,1,0,0,3,2,5,2,4,0,1,2,5,2,0,1,3,2,2,2,1,1,617
74,"PRA.VI.SARAINDHI K.N.1",416,367,1,784,261,181,0,442,69,0,0,136,183,112,3,1,2,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,442
75,"PRA.VI.SARAINDHI K.N.2",574,466,0,1040,364,282,0,646,646,0,3,204,142,276,4,1,0,0,0,0,0,0,1,0,0,2,0,0,3,0,2,0,1,4,0,0,0,1,2,646
76,"PRA.VI.SARAINDHI K.N.3",784,610,0,1394,483,283,0,766,58,0,5,417,285,28,1,0,2,2,0,0,1,0,0,7,0,3,4,1,2,1,1,1,0,1,2,0,1,0,1,766
77,"PRA.VI.SARAINDHI K.N.4",480,369,0,849,259,191,0,450,450,0,11,251,88,56,2,0,1,0,0,0,0,1,0,1,2,3,2,3,3,1,2,2,2,1,1,6,8,2,1,450
78,"KANYA PRA.VI.SARAINDHI K.N.1",556,419,0,975,295,207,0,502,501,0,6,287,77,107,2,1,1,0,0,0,0,1,3,5,2,4,0,0,1,1,0,0,0,1,0,0,0,1,2,502
79,"PRA.VI.NAGLA HANS RAJ",604,499,0,1103,402,293,0,695,695,0,4,283,368,26,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,2,0,0,1,1,1,0,3,0,1,695
80,"KANYA PRA.VI.SARAINDHI K.N.2",230,192,0,422,148,81,0,229,108,0,53,38,31,79,0,0,0,0,0,0,0,0,1,1,0,1,1,3,1,4,1,2,0,2,6,1,4,0,0,229
81,PRA.VI.CHANDSAURA,701,588,1,1290,457,376,0,833,833,0,6,274,71,421,5,1,1,0,0,1,1,1,2,6,7,8,0,2,2,5,0,1,2,3,0,2,6,4,1,833
82,PRA.VI.UDAINA,439,350,0,789,325,220,0,545,545,0,6,19,70,415,4,0,0,0,1,0,0,2,0,3,0,2,1,3,1,3,0,0,1,3,2,2,6,1,0,545
83,"PRA.VI.NAGLA PALTU",731,560,0,1291,429,344,0,773,71,0,20,63,63,582,7,1,3,3,1,0,3,2,3,0,0,5,0,1,0,3,0,1,5,1,1,0,3,0,2,773
84,"PRA.VI.NAGLA RUDHI",488,407,0,895,351,291,0,642,642,0,5,143,22,433,1,3,1,2,0,0,0,1,2,0,2,1,1,1,0,7,0,0,1,10,0,0,4,1,1,642
85,"PRA.VI.NAGLA DUKHAI KHAN",476,431,0,907,273,240,0,513,512,0,4,124,147,213,2,0,1,1,1,0,0,1,2,5,2,1,0,3,0,2,0,0,0,0,0,0,1,1,2,513
86,"PRA.VI.FAJIYAT PURA",822,652,0,1474,472,344,0,816,562,0,16,204,48,446,3,1,1,2,0,3,2,2,1,2,2,13,2,10,9,7,0,3,5,20,1,2,5,2,4,816
87,PRA.VI.KHERRA,472,390,0,862,285,223,0,508,3,0,5,70,145,267,2,0,0,2,0,0,0,0,3,0,0,1,0,0,3,2,1,0,1,2,0,0,3,0,1,508
88,PRA.VI.NARIPURA,426,404,0,830,320,263,0,583,470,0,6,24,177,339,3,0,0,0,1,1,0,1,0,1,0,3,0,0,2,0,1,1,3,10,1,3,5,0,1,583
89,"PRA.VI.DANDA K.N.1",504,397,0,901,303,214,0,517,517,0,8,172,92,203,4,0,0,27,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,3,2,517
90,"PRA.VI.DANDA K.N.2",325,249,0,574,203,137,0,340,340,0,2,117,43,149,0,0,1,4,0,0,0,2,1,3,0,1,0,0,0,0,0,0,2,3,1,2,5,1,3,340
91,PRA.VI.KULHADA,553,384,0,937,355,227,0,582,64,0,1,289,115,149,2,0,0,1,1,0,0,0,0,5,0,2,0,1,3,1,0,1,1,0,0,3,3,3,1,582
92,"PRA.VI.GARI TURSI",275,212,0,487,194,125,0,319,319,0,5,35,106,151,2,0,0,0,0,0,0,0,0,2,1,4,0,2,3,0,0,0,1,5,0,1,1,0,0,319
93,PRA.VI.GHUSIYANA,702,550,0,1252,481,313,0,794,794,0,1,307,194,264,2,1,0,3,1,0,2,1,1,3,4,1,1,1,0,0,0,0,1,3,0,1,1,0,1,794
94,"PRA.VI.RASULPUR K.N.1",441,310,0,751,311,198,0,509,509,0,3,197,237,58,2,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,509
95,"PRA.VI.RASULPUR K.N.2",483,354,0,837,293,207,0,500,500,0,3,132,121,204,1,2,0,0,2,0,1,0,1,1,2,3,0,2,3,3,1,0,2,5,1,3,4,0,3,500
96,PRA.VI.MAHMADGARH,306,258,0,564,215,171,0,386,386,0,2,212,26,131,2,1,0,0,0,1,0,0,0,2,3,0,0,2,0,1,0,0,0,0,0,2,1,0,0,386
97,PRA.VI.ATA,565,431,0,996,342,249,0,591,591,0,3,296,114,154,1,0,0,1,0,1,0,0,1,5,1,0,2,1,1,2,0,1,0,2,1,2,2,0,0,591
98,"PRA.VI.BHOPUR KHERAGARH",275,240,0,515,184,151,0,335,335,0,7,113,22,172,2,0,0,0,1,1,0,2,0,0,2,4,0,2,3,1,0,0,0,1,1,0,0,1,0,335
99,"PRA.VI.NAGLA VISHNU",614,526,0,1140,382,357,0,739,739,0,7,484,64,156,1,0,1,3,0,0,1,0,0,3,1,3,0,6,1,1,1,0,0,1,0,1,0,3,1,739
100,"PRA.VI.GARI KARANA",408,335,0,743,287,220,0,507,507,0,7,296,83,102,0,1,0,0,0,0,0,0,0,6,1,2,0,0,0,0,1,1,0,3,0,1,2,0,1,507
101,"PRA.VI.GHANS PURA",477,344,0,821,334,210,0,544,540,0,13,242,173,95,1,1,0,0,0,0,0,1,2,4,1,4,0,0,0,1,0,1,1,2,1,0,0,0,1,544
102,"PRA.VI.NAGLA KAMAL",715,620,0,1335,541,420,0,961,961,0,6,354,383,189,1,0,0,0,0,0,0,1,2,6,1,3,0,2,1,1,0,2,2,0,3,2,1,0,1,961
103,PRA.VI.PIPALKHERA,775,598,0,1373,404,270,0,674,68,0,8,233,145,244,2,1,1,2,1,0,0,0,2,5,0,3,1,0,1,5,0,0,6,6,1,2,0,2,3,674
